Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
K12-1353	R04-357	JTN-5503	( R04-357 ( R97-1650 ( Pioneer_P9592 , Holladay ) , 98601 ( Asgrow_A5403 , Hutcheson ) ) , JTN-5503 ( Fowler , Manokin ) )	-	-
K12-1355	R04-357	JTN-5503	( R04-357 ( R97-1650 ( Pioneer_P9592 , Holladay ) , 98601 ( Asgrow_A5403 , Hutcheson ) ) , JTN-5503 ( Fowler , Manokin ) )	-	-
K12-1391	V03-4705	JTN-5503	( V03-4705 ( V93-2329 ( V84-1787 , V85-5344 ) , Anand ) , JTN-5503 ( Fowler , Manokin ) )	-	-
K12-1409	V03-4705	K08-1097	( V03-4705 ( V93-2329 ( V84-1787 , V85-5344 ) , Anand ) , K08-1097 )	-	-
K12-1414	V03-4705	K08-1097	( V03-4705 ( V93-2329 ( V84-1787 , V85-5344 ) , Anand ) , K08-1097 )	-	-
K12-1575	LG04-5372	LG04-3765	( LG04-5372 ( Rend , LG97-9301 ( LG89-7793 ( PI_391594 , Century ) , LG88-8958 ( PI_253665D , PI_283331 ) ) ) , LG04-3765 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , LG97-9912 ( LG90-4181 ( PI_436682 , Lawrence ) , Asgrow_A3322 ) ) )	-	Reselection
K12-2333	LG04-5993	LG04-5187	( LG04-5993 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , LG97-9912 ( LG90-4181 ( PI_436682 , Lawrence ) , Asgrow_A3322 ) ) , LG04-5187 ( LG97-9384 ( LG90-2179 ( PI_437851_A , Ripley ) , Asgrow_A3322 ) , LG97-9301 ( LG89-7793 ( PI_391594 , Century ) , LG88-8958 ( PI_253665D , PI_283331 ) ) ) )	-	-
K12020	XB41M01	Pioneer_P92B24	( XB41M01 ( MO06347-68 , CX469c ) , Pioneer_P92B24 )	-	-
K12021	XB41M01	K12020	( XB41M01 ( MO06347-68 , CX469c ) ( MO06347-68 , CX469c ) , K12020 ( XB41M01 ( MO06347-68 , CX469c ) , Pioneer_P92B24 ) )	-	-
K1216	K1099	Pershing	( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Pershing )	-	-
K1218	Pioneer_P5482	Asgrow_A3127	( Pioneer_P5482 ( Dare , Forrest ) , Asgrow_A3127 ( Williams , Essex ) )	-	-
K1235	Hutcheson	Asgrow_A3427	( Hutcheson , Asgrow_A3427 ( Asgrow_X3836 , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
K1242	Stafford	Hutcheson	( Stafford , Hutcheson )	-	-
K1243	Hutcheson	Asgrow_A2943	( Hutcheson , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
K1246	Stafford	Elgin	( Stafford , Elgin )	-	-
K1248	Stafford	Hutcheson	( Stafford , Hutcheson )	-	-
K12620	R00448R003	Pioneer_P92B38	( R00448R003 , Pioneer_P92B38 )	-	-
K12650	EX15N01	Pioneer_P92B38	( EX15N01 ( 30337R089 ( Pioneer_P9162 ( Pioneer_P2981 , Asgrow_A1937 ( Hodgson , D3003 ( Wayne , - ) ) ) ( Pioneer_P2981 , Asgrow_A1937 ( Hodgson , D3003 ( Wayne , - ) ) ( Hodgson , D3003 ( Wayne , - ) ( Wayne , - ) ) ) , 30289F2 ( Pioneer_P9162 ( Pioneer_P2981 , Asgrow_A1937 ( Hodgson , D3003 ( Wayne , - ) ) ) , 30214 ( Pioneer_P9341 , 30129 ( XB33B ( CM304BR , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) ( CM304BR , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ( Williams , Essex ) ) , 30107 ( XB33B ( CM304BR , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) , 5961 ( Asgrow_A3733 ( Elf , Asgrow_A3127 ( Williams , Essex ) ) , Resnik ) ) ) ) ) ) , Pioneer_P92B52 ) , Pioneer_P92B38 )	-	-
K1267	K1133	K1106	( K1133 ( V75-345 ( Essex , Shore ) , S76-2120 ( D67-3297 , Essex ) ) , K1106 )	-	-
K1268	Stafford	Asgrow_A3427	( Stafford , Asgrow_A3427 ( Asgrow_X3836 , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
K1276	Coker_425	Asgrow_A3427	( Coker_425 ( Corker_69-119 , Essex ) , Asgrow_A3427 ( Asgrow_X3836 , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
K1277	Hutcheson	Asgrow_A3966	( Hutcheson , Asgrow_A3966 ( Williams , Essex ) )	-	-
K13-1830	DS-880	R04-357	( DS-880 , R04-357 ( R97-1650 ( Pioneer_P9592 , Holladay ) , 98601 ( Asgrow_A5403 , Hutcheson ) ) )	-	F4, Conv.
K1304	K1133	Flyer	( K1133 ( V75-345 ( Essex , Shore ) , S76-2120 ( D67-3297 , Essex ) ) , Flyer )	-	-
