Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
D59-630	Hill	D52-810	( Hill , D52-810 ( Roanoke , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) )	-	-
D59-693	Hill	D52-810	( Hill , D52-810 ( Roanoke , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) )	-	-
D59-706	Hill	D52-810	( Hill , D52-810 ( Roanoke , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) )	-	-
D59-9289	D51-4877	D55-4168	( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) )	-	-
D60-11,082	D49-2573	Nansemond	( D49-2573 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Nansemond )	-	-
D60-11,215	D49-2573	Nansemond	( D49-2573 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Nansemond )	-	-
D60-5234	D55-4110	N56-4071	( D55-4110 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ( Clemson ( PI_71659 , - ) ( PI_71659 , - ) , - ) ) , N56-4071 ( N46-1703 ( Volstate ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) )	-	-
D60-5702	Hill	D53-354	( Hill , D53-354 ( D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , L46-5679 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland ) ) )	-	-
D60-5818	Hill	D53-354	( Hill , D53-354 ( D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , L46-5679 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland ) ) )	-	-
D60-5847	Hill	D53-354	( Hill , D53-354 ( D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , L46-5679 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland ) ) )	-	-
